postcode_district,total_properties,dominant_age_band,pre_1970_percentage,proxy_mode
DA8,23129,1950-1966,46.17,exclude_1967_1975
DA9,8289,2003-2006,19.71,exclude_1967_1975
DE1,14910,1900-1929,36.48,exclude_1967_1975
DE11,23195,1900-1929,35.56,exclude_1967_1975
DE12,11122,1950-1966,49.51,exclude_1967_1975
DE13,19295,1950-1966,41.99,exclude_1967_1975
DE14,19756,1900-1929,47.36,exclude_1967_1975
DE15,13192,1950-1966,52.36,exclude_1967_1975
DE21,22833,1950-1966,50.36,exclude_1967_1975
DE22,26131,1900-1929,57.29,exclude_1967_1975
DE23,28781,1900-1929,63.47,exclude_1967_1975
DE24,27624,1930-1949,46.76,exclude_1967_1975
DE3,8541,1967-1975,26.32,exclude_1967_1975
DE4,16622,before 1900,53.92,exclude_1967_1975
DE45,4165,before 1900,65.26,exclude_1967_1975
DE5,10675,1900-1929,53.79,exclude_1967_1975
DE55,25427,1900-1929,52.42,exclude_1967_1975
DE56,17500,before 1900,50.70,exclude_1967_1975
DE6,12731,before 1900,46.67,exclude_1967_1975
DE65,10613,unknown,26.94,exclude_1967_1975
DE7,23970,1900-1929,54.94,exclude_1967_1975
DE72,8303,1950-1966,53.45,exclude_1967_1975
DE73,9276,unknown,30.96,exclude_1967_1975
DE74,7108,1950-1966,42.49,exclude_1967_1975
DE75,8635,1900-1929,56.80,exclude_1967_1975
DG1,20,1967-1975,50.00,exclude_1967_1975
DG11,34,before 1900,79.41,exclude_1967_1975
DG12,20,1950-1966,65.00,exclude_1967_1975
DG13,10,before 1900,100.00,exclude_1967_1975
DG16,29,before 1900,58.62,exclude_1967_1975
DG2,16,1950-1966,93.75,exclude_1967_1975
DG8,21,before 1900,76.19,exclude_1967_1975
DG9,39,before 1900,71.79,exclude_1967_1975
DH1,24006,1950-1966,50.06,exclude_1967_1975
DH2,13965,1950-1966,47.04,exclude_1967_1975
DH3,11574,1950-1966,54.91,exclude_1967_1975
DH4,19530,1950-1966,57.99,exclude_1967_1975
DH5,13119,1930-1949,62.31,exclude_1967_1975
DH6,22847,1930-1949,63.50,exclude_1967_1975
