postcode_district,total_properties,dominant_age_band,pre_1970_percentage,proxy_mode
RG22,17012,1967-1975,22.90,exclude_1967_1975
RG23,6593,1967-1975,26.79,exclude_1967_1975
RG24,18088,unknown,7.51,exclude_1967_1975
RG25,4080,1950-1966,46.81,exclude_1967_1975
RG26,9268,1950-1966,31.13,exclude_1967_1975
RG27,11022,unknown,25.85,exclude_1967_1975
RG28,2922,before 1900,41.62,exclude_1967_1975
RG29,3129,1950-1966,51.20,exclude_1967_1975
RG30,22482,1950-1966,51.73,exclude_1967_1975
RG31,10065,1950-1966,29.14,exclude_1967_1975
RG4,16502,1950-1966,48.84,exclude_1967_1975
RG40,15304,unknown,25.94,exclude_1967_1975
RG41,12745,1983-1990,19.76,exclude_1967_1975
RG42,13609,1991-1995,22.01,exclude_1967_1975
RG45,6467,1950-1966,27.01,exclude_1967_1975
RG5,9689,1950-1966,35.20,exclude_1967_1975
RG6,13762,1983-1990,34.33,exclude_1967_1975
RG7,15431,1950-1966,38.78,exclude_1967_1975
RG8,7972,1950-1966,45.99,exclude_1967_1975
RG9,11811,before 1900,51.66,exclude_1967_1975
RH1,24777,1950-1966,47.71,exclude_1967_1975
RH10,29915,1950-1966,32.47,exclude_1967_1975
RH11,21954,1950-1966,30.45,exclude_1967_1975
RH12,23826,unknown,26.87,exclude_1967_1975
RH13,17047,1950-1966,35.31,exclude_1967_1975
RH14,7484,unknown,28.75,exclude_1967_1975
RH15,15240,1950-1966,30.34,exclude_1967_1975
RH16,19677,1950-1966,36.32,exclude_1967_1975
RH17,8699,before 1900,52.32,exclude_1967_1975
RH18,1857,1950-1966,53.31,exclude_1967_1975
RH19,15399,1950-1966,39.63,exclude_1967_1975
RH2,13305,1950-1966,55.39,exclude_1967_1975
RH20,12154,1967-1975,38.24,exclude_1967_1975
RH3,1558,1930-1949,67.91,exclude_1967_1975
RH4,8087,1950-1966,56.14,exclude_1967_1975
RH5,6381,before 1900,55.57,exclude_1967_1975
RH6,16462,1950-1966,34.80,exclude_1967_1975
RH7,3247,1950-1966,52.69,exclude_1967_1975
RH8,6214,1950-1966,54.02,exclude_1967_1975
RH9,2124,1950-1966,63.84,exclude_1967_1975
RM1,11445,1930-1949,49.27,exclude_1967_1975
RM10,18425,1930-1949,69.48,exclude_1967_1975
RM11,11894,1930-1949,66.02,exclude_1967_1975
RM12,13351,1930-1949,64.95,exclude_1967_1975
RM13,13620,1950-1966,57.85,exclude_1967_1975
RM14,9267,1930-1949,77.14,exclude_1967_1975
RM15,12741,1950-1966,57.99,exclude_1967_1975
RM16,15973,1950-1966,36.97,exclude_1967_1975
RM17,13860,1900-1929,41.84,exclude_1967_1975
RM18,8812,1967-1975,44.12,exclude_1967_1975
RM19,3953,2003-2006,11.08,exclude_1967_1975
RM2,5931,1930-1949,68.49,exclude_1967_1975
RM20,3602,unknown,33.76,exclude_1967_1975
RM3,19576,1950-1966,61.43,exclude_1967_1975
RM4,1826,1950-1966,52.52,exclude_1967_1975
RM5,7179,1930-1949,77.21,exclude_1967_1975
RM6,14539,1930-1949,62.18,exclude_1967_1975
RM7,14405,1930-1949,57.18,exclude_1967_1975
RM8,19193,1930-1949,71.22,exclude_1967_1975
RM9,16150,1930-1949,74.47,exclude_1967_1975
S1,10349,unknown,12.83,exclude_1967_1975
S10,20872,1900-1929,66.89,exclude_1967_1975
S11,16415,1900-1929,66.34,exclude_1967_1975
S12,13052,1950-1966,65.04,exclude_1967_1975
S13,13462,1950-1966,60.65,exclude_1967_1975
S14,6366,1950-1966,77.77,exclude_1967_1975
S17,6665,1967-1975,49.30,exclude_1967_1975
S18,9837,1950-1966,53.92,exclude_1967_1975
S2,25345,1930-1949,50.03,exclude_1967_1975
S20,12289,1976-1982,20.90,exclude_1967_1975
S21,9553,1950-1966,50.86,exclude_1967_1975
S25,9751,1950-1966,40.80,exclude_1967_1975
S26,10724,1950-1966,44.78,exclude_1967_1975
S3,15251,unknown,23.11,exclude_1967_1975
S32,2419,before 1900,65.89,exclude_1967_1975
S33,2049,before 1900,67.89,exclude_1967_1975
S35,15372,1967-1975,45.78,exclude_1967_1975
S36,12583,1950-1966,49.00,exclude_1967_1975
S4,7161,1900-1929,62.03,exclude_1967_1975
S40,17952,1900-1929,51.73,exclude_1967_1975
S41,18864,1950-1966,57.55,exclude_1967_1975
S42,13451,1950-1966,44.89,exclude_1967_1975
S43,19257,1950-1966,54.84,exclude_1967_1975
S44,12517,1950-1966,59.14,exclude_1967_1975
S45,8085,1950-1966,55.23,exclude_1967_1975
S5,27564,1930-1949,75.05,exclude_1967_1975
S6,27827,1900-1929,62.80,exclude_1967_1975
S60,19477,1950-1966,49.06,exclude_1967_1975
S61,16373,1950-1966,61.30,exclude_1967_1975
S62,10315,1950-1966,64.36,exclude_1967_1975
S63,22158,1900-1929,57.22,exclude_1967_1975
S64,15523,1900-1929,61.45,exclude_1967_1975
S65,16538,1930-1949,69.48,exclude_1967_1975
S66,19832,1950-1966,48.55,exclude_1967_1975
S7,8188,1900-1929,79.78,exclude_1967_1975
S70,23177,1900-1929,64.45,exclude_1967_1975
S71,22665,1950-1966,56.06,exclude_1967_1975
S72,12373,1950-1966,57.71,exclude_1967_1975
S73,14045,1900-1929,58.32,exclude_1967_1975
S74,8524,1930-1949,65.51,exclude_1967_1975
S75,19015,1950-1966,50.81,exclude_1967_1975
S8,21258,1900-1929,70.24,exclude_1967_1975
S80,18711,1900-1929,62.01,exclude_1967_1975
S81,18464,1950-1966,42.66,exclude_1967_1975
S9,12795,1900-1929,57.16,exclude_1967_1975
SA1,31010,1900-1929,62.00,exclude_1967_1975
SA10,13595,1950-1966,53.67,exclude_1967_1975
SA11,19348,1900-1929,67.75,exclude_1967_1975
SA12,18147,1950-1966,68.99,exclude_1967_1975
SA13,9965,1900-1929,77.27,exclude_1967_1975
SA14,14677,1950-1966,50.76,exclude_1967_1975
SA15,18277,1900-1929,68.51,exclude_1967_1975
SA16,3912,1950-1966,56.49,exclude_1967_1975
SA17,4690,before 1900,53.92,exclude_1967_1975
SA18,14625,1900-1929,60.85,exclude_1967_1975
SA19,4501,before 1900,65.12,exclude_1967_1975
SA2,14797,1900-1929,65.05,exclude_1967_1975
SA20,1473,before 1900,71.42,exclude_1967_1975
SA3,11585,1967-1975,47.68,exclude_1967_1975
SA31,9207,1950-1966,50.51,exclude_1967_1975
SA32,3239,before 1900,54.62,exclude_1967_1975
SA33,6155,before 1900,52.30,exclude_1967_1975
SA34,2308,before 1900,58.80,exclude_1967_1975
SA35,348,before 1900,66.09,exclude_1967_1975
SA36,165,before 1900,59.39,exclude_1967_1975
SA37,632,before 1900,57.28,exclude_1967_1975
SA38,2638,before 1900,56.52,exclude_1967_1975
SA39,1298,before 1900,59.24,exclude_1967_1975
SA4,18093,1900-1929,43.14,exclude_1967_1975
SA40,1550,before 1900,61.74,exclude_1967_1975
SA41,969,before 1900,45.10,exclude_1967_1975
SA42,1179,before 1900,55.81,exclude_1967_1975
SA43,7953,before 1900,53.04,exclude_1967_1975
SA44,6473,before 1900,58.67,exclude_1967_1975
SA45,951,before 1900,55.42,exclude_1967_1975
SA46,1414,before 1900,52.05,exclude_1967_1975
SA47,642,before 1900,49.22,exclude_1967_1975
SA48,4223,before 1900,55.96,exclude_1967_1975
SA5,14930,1950-1966,63.58,exclude_1967_1975
SA6,13982,1900-1929,56.74,exclude_1967_1975
SA61,6855,1950-1966,49.92,exclude_1967_1975
SA62,9732,before 1900,42.88,exclude_1967_1975
SA63,504,before 1900,47.62,exclude_1967_1975
SA64,1098,before 1900,62.66,exclude_1967_1975
SA65,2064,before 1900,50.97,exclude_1967_1975
SA66,1370,before 1900,57.66,exclude_1967_1975
SA67,3810,before 1900,40.13,exclude_1967_1975
SA68,1798,before 1900,37.10,exclude_1967_1975
SA69,2067,1967-1975,29.17,exclude_1967_1975
SA7,5782,1950-1966,32.36,exclude_1967_1975
SA70,5189,before 1900,47.83,exclude_1967_1975
SA71,5047,before 1900,38.54,exclude_1967_1975
SA72,5270,before 1900,59.05,exclude_1967_1975
SA73,9701,1950-1966,54.36,exclude_1967_1975
SA8,6051,1950-1966,58.01,exclude_1967_1975
SA9,7867,1900-1929,69.34,exclude_1967_1975
SE1,50146,unknown,35.69,exclude_1967_1975
SE10,27906,unknown,28.17,exclude_1967_1975
SE11,14631,unknown,51.76,exclude_1967_1975
SE12,13611,1930-1949,60.48,exclude_1967_1975
SE13,30921,1900-1929,53.04,exclude_1967_1975
SE14,15508,1900-1929,52.48,exclude_1967_1975
SE15,32727,1900-1929,50.20,exclude_1967_1975
SE16,30763,unknown,18.43,exclude_1967_1975
SE17,19350,unknown,44.43,exclude_1967_1975
SE18,42834,1900-1929,49.88,exclude_1967_1975
SE19,16577,1900-1929,59.81,exclude_1967_1975
SE2,12048,1950-1966,59.80,exclude_1967_1975
SE20,14461,1900-1929,58.65,exclude_1967_1975
SE21,7293,1900-1929,76.18,exclude_1967_1975
SE22,16425,1900-1929,78.33,exclude_1967_1975
SE23,19475,1900-1929,71.40,exclude_1967_1975
SE24,9662,1900-1929,80.43,exclude_1967_1975
SE25,19018,1900-1929,66.05,exclude_1967_1975
SE26,18517,1900-1929,56.98,exclude_1967_1975
SE27,12936,1900-1929,68.69,exclude_1967_1975
SE28,14208,1996-2002,2.94,exclude_1967_1975
SE3,20521,1950-1966,57.05,exclude_1967_1975
SE4,14663,1900-1929,76.67,exclude_1967_1975
SE5,23670,1900-1929,61.52,exclude_1967_1975
SE6,28379,1900-1929,73.64,exclude_1967_1975
SE7,10735,1900-1929,67.75,exclude_1967_1975
SE8,21058,unknown,34.19,exclude_1967_1975
SE9,25128,1930-1949,73.79,exclude_1967_1975
SG1,29065,1967-1975,28.73,exclude_1967_1975
SG10,740,before 1900,53.78,exclude_1967_1975
SG11,2997,1950-1966,44.04,exclude_1967_1975
SG12,12792,1950-1966,40.18,exclude_1967_1975
SG13,7562,unknown,31.54,exclude_1967_1975
SG14,9789,1950-1966,41.37,exclude_1967_1975
SG15,2889,1950-1966,38.39,exclude_1967_1975
SG16,3513,1950-1966,33.62,exclude_1967_1975
SG17,6658,unknown,28.01,exclude_1967_1975
SG18,13977,unknown,29.83,exclude_1967_1975
SG19,11265,1967-1975,31.52,exclude_1967_1975
SG2,18435,1950-1966,47.69,exclude_1967_1975
SG3,3554,1950-1966,45.05,exclude_1967_1975
SG4,14589,1950-1966,45.82,exclude_1967_1975
SG5,17907,1950-1966,43.64,exclude_1967_1975
SG6,16541,1950-1966,51.13,exclude_1967_1975
SG7,6522,1983-1990,44.04,exclude_1967_1975
SG8,19039,1950-1966,34.37,exclude_1967_1975
SG9,4974,unknown,33.68,exclude_1967_1975
SK1,7561,1900-1929,52.22,exclude_1967_1975
SK10,18986,1950-1966,45.70,exclude_1967_1975
SK11,20077,1950-1966,59.76,exclude_1967_1975
SK12,7693,1950-1966,50.31,exclude_1967_1975
SK13,13658,before 1900,50.08,exclude_1967_1975
SK14,25588,1950-1966,62.21,exclude_1967_1975
SK15,14417,1950-1966,56.35,exclude_1967_1975
SK16,9736,1950-1966,62.18,exclude_1967_1975
SK17,14965,before 1900,60.32,exclude_1967_1975
SK2,12844,1900-1929,57.38,exclude_1967_1975
SK22,5164,before 1900,67.54,exclude_1967_1975
SK23,7219,1900-1929,52.81,exclude_1967_1975
SK3,13837,1900-1929,66.43,exclude_1967_1975
SK4,16089,1900-1929,61.78,exclude_1967_1975
SK5,14657,1950-1966,70.51,exclude_1967_1975
SK6,21190,1950-1966,66.65,exclude_1967_1975
SK7,16519,1950-1966,56.89,exclude_1967_1975
SK8,23558,1950-1966,61.90,exclude_1967_1975
SK9,20017,1950-1966,44.66,exclude_1967_1975
SL0,5101,1950-1966,55.54,exclude_1967_1975
SL1,34893,1950-1966,39.01,exclude_1967_1975
SL2,22696,1950-1966,46.62,exclude_1967_1975
SL3,19709,1950-1966,43.20,exclude_1967_1975
SL4,21303,1950-1966,51.07,exclude_1967_1975
SL5,11891,1950-1966,37.52,exclude_1967_1975
SL6,38266,1950-1966,41.16,exclude_1967_1975
SL7,10057,1950-1966,44.59,exclude_1967_1975
SL8,3216,1950-1966,50.81,exclude_1967_1975
SL9,9154,1950-1966,50.60,exclude_1967_1975
SM1,21311,1930-1949,52.54,exclude_1967_1975
SM2,16391,1967-1975,34.53,exclude_1967_1975
SM3,7438,1930-1949,71.69,exclude_1967_1975
SM4,14765,1930-1949,81.47,exclude_1967_1975
SM5,15970,1930-1949,68.22,exclude_1967_1975
SM6,18665,1930-1949,41.04,exclude_1967_1975
SM7,7267,1930-1949,58.29,exclude_1967_1975
SN1,20091,1900-1929,54.06,exclude_1967_1975
SN10,15538,1950-1966,38.38,exclude_1967_1975
SN11,12139,1950-1966,31.08,exclude_1967_1975
SN12,12274,unknown,29.31,exclude_1967_1975
SN13,8217,1950-1966,45.31,exclude_1967_1975
SN14,12389,1950-1966,43.68,exclude_1967_1975
SN15,17690,1950-1966,42.36,exclude_1967_1975
SN16,7199,before 1900,40.20,exclude_1967_1975
SN2,19372,1950-1966,54.02,exclude_1967_1975
SN25,19841,2003-2006,6.67,exclude_1967_1975
SN26,999,unknown,25.33,exclude_1967_1975
SN3,22538,1950-1966,34.00,exclude_1967_1975
SN4,11986,1950-1966,36.39,exclude_1967_1975
SN5,14839,1983-1990,8.13,exclude_1967_1975
SN6,11043,1967-1975,35.57,exclude_1967_1975
SN7,8184,unknown,31.73,exclude_1967_1975
SN8,10886,before 1900,45.39,exclude_1967_1975
SN9,4027,1950-1966,53.59,exclude_1967_1975
SO14,20573,1900-1929,43.37,exclude_1967_1975
SO15,25594,1900-1929,54.47,exclude_1967_1975
SO16,31613,1950-1966,51.49,exclude_1967_1975
SO17,11870,1900-1929,56.41,exclude_1967_1975
SO18,17233,1950-1966,54.23,exclude_1967_1975
SO19,28587,1950-1966,56.32,exclude_1967_1975
SO20,4085,1950-1966,45.53,exclude_1967_1975
SO21,8623,1950-1966,45.14,exclude_1967_1975
SO22,13609,1950-1966,38.94,exclude_1967_1975
SO23,12712,before 1900,40.98,exclude_1967_1975
SO24,5069,before 1900,46.02,exclude_1967_1975
SO30,15321,1983-1990,18.07,exclude_1967_1975
SO31,21372,1983-1990,25.48,exclude_1967_1975
SO32,10711,unknown,30.02,exclude_1967_1975
SO40,16042,1983-1990,36.84,exclude_1967_1975
SO41,16662,1950-1966,38.93,exclude_1967_1975
SO42,2579,1900-1929,58.94,exclude_1967_1975
SO43,2163,before 1900,63.94,exclude_1967_1975
SO45,13770,1950-1966,32.18,exclude_1967_1975
SO50,23344,unknown,35.81,exclude_1967_1975
SO51,13258,1967-1975,30.83,exclude_1967_1975
SO52,3003,1967-1975,24.91,exclude_1967_1975
SO53,12563,1950-1966,30.53,exclude_1967_1975
SP1,10986,1950-1966,52.55,exclude_1967_1975
SP10,17066,1967-1975,26.28,exclude_1967_1975
SP11,17189,unknown,29.47,exclude_1967_1975
SP2,16036,1950-1966,47.68,exclude_1967_1975
SP3,5818,before 1900,55.83,exclude_1967_1975
SP4,17607,unknown,34.04,exclude_1967_1975
SP5,9156,before 1900,48.89,exclude_1967_1975
SP6,6331,before 1900,43.36,exclude_1967_1975
SP7,7599,before 1900,35.69,exclude_1967_1975
SP8,7305,before 1900,29.53,exclude_1967_1975
SP9,5312,1950-1966,34.85,exclude_1967_1975
SR1,7438,1950-1966,43.25,exclude_1967_1975
SR2,20606,1900-1929,68.21,exclude_1967_1975
SR3,23182,1950-1966,59.06,exclude_1967_1975
SR4,24916,1950-1966,79.20,exclude_1967_1975
SR5,25595,1950-1966,69.65,exclude_1967_1975
SR6,13803,1950-1966,72.69,exclude_1967_1975
SR7,18472,1930-1949,69.73,exclude_1967_1975
SR8,23732,1950-1966,63.23,exclude_1967_1975
SS0,22625,1900-1929,79.97,exclude_1967_1975
SS1,15648,1900-1929,62.63,exclude_1967_1975
SS11,6999,1950-1966,41.43,exclude_1967_1975
SS12,7115,1950-1966,23.78,exclude_1967_1975
SS13,9982,1967-1975,26.52,exclude_1967_1975
SS14,12717,1950-1966,48.39,exclude_1967_1975
SS15,14446,1950-1966,26.58,exclude_1967_1975
SS16,13420,1950-1966,33.87,exclude_1967_1975
SS17,11866,1950-1966,44.82,exclude_1967_1975
SS2,18297,1900-1929,64.92,exclude_1967_1975
SS3,12158,1967-1975,38.69,exclude_1967_1975
SS4,9265,1950-1966,42.72,exclude_1967_1975
SS5,7701,1950-1966,43.80,exclude_1967_1975
SS6,12453,1950-1966,43.53,exclude_1967_1975
SS7,18260,1950-1966,53.64,exclude_1967_1975
SS8,14705,1967-1975,33.36,exclude_1967_1975
SS9,21592,1930-1949,70.18,exclude_1967_1975
ST1,17670,1900-1929,60.48,exclude_1967_1975
ST10,10981,before 1900,51.07,exclude_1967_1975
ST11,3740,1950-1966,52.57,exclude_1967_1975
ST12,1682,1950-1966,55.95,exclude_1967_1975
ST13,12646,before 1900,63.53,exclude_1967_1975
ST14,9958,1950-1966,38.01,exclude_1967_1975
ST15,10379,1950-1966,34.97,exclude_1967_1975
ST16,18252,1900-1929,40.36,exclude_1967_1975
ST17,16808,1950-1966,47.41,exclude_1967_1975
ST18,7046,unknown,37.13,exclude_1967_1975
ST19,6246,1967-1975,33.86,exclude_1967_1975
ST2,15962,1950-1966,72.06,exclude_1967_1975
ST20,2841,1950-1966,42.98,exclude_1967_1975
ST21,2836,before 1900,47.64,exclude_1967_1975
ST3,28578,1950-1966,59.62,exclude_1967_1975
ST4,29299,1900-1929,66.56,exclude_1967_1975
ST5,36625,1950-1966,59.63,exclude_1967_1975
ST6,33172,1950-1966,64.88,exclude_1967_1975
ST7,22690,1950-1966,51.98,exclude_1967_1975
ST8,8153,1950-1966,50.82,exclude_1967_1975
ST9,3900,1950-1966,55.00,exclude_1967_1975
SW10,14607,before 1900,66.41,exclude_1967_1975
SW11,54166,1900-1929,51.39,exclude_1967_1975
SW12,19405,1900-1929,74.09,exclude_1967_1975
SW13,7700,1900-1929,73.99,exclude_1967_1975
SW14,7757,1900-1929,82.07,exclude_1967_1975
SW15,35372,1900-1929,57.42,exclude_1967_1975
SW16,42252,1900-1929,72.97,exclude_1967_1975
SW17,36584,1900-1929,70.16,exclude_1967_1975
SW18,40414,1900-1929,56.12,exclude_1967_1975
SW19,44405,1900-1929,57.60,exclude_1967_1975
SW1A,606,before 1900,72.11,exclude_1967_1975
SW1E,1236,unknown,40.70,exclude_1967_1975
SW1H,1142,unknown,28.28,exclude_1967_1975
SW1P,10265,1900-1929,51.81,exclude_1967_1975
SW1V,17300,before 1900,71.85,exclude_1967_1975
SW1W,8029,before 1900,57.63,exclude_1967_1975
SW1X,7089,before 1900,83.35,exclude_1967_1975
SW1Y,872,before 1900,61.24,exclude_1967_1975
SW2,32352,1900-1929,73.70,exclude_1967_1975
SW20,14953,1900-1929,67.10,exclude_1967_1975
SW26,12,unknown,0.00,exclude_1967_1975
SW3,19837,before 1900,87.05,exclude_1967_1975
SW4,28400,1900-1929,67.06,exclude_1967_1975
SW5,14113,before 1900,89.65,exclude_1967_1975
SW6,44883,1900-1929,68.78,exclude_1967_1975
SW7,16866,before 1900,84.75,exclude_1967_1975
SW8,28510,unknown,45.62,exclude_1967_1975
SW9,28808,1900-1929,53.75,exclude_1967_1975
SY1,13241,1950-1966,44.96,exclude_1967_1975
SY10,6971,before 1900,51.10,exclude_1967_1975
SY11,13977,1950-1966,46.94,exclude_1967_1975
SY12,3980,before 1900,43.67,exclude_1967_1975
SY13,9559,before 1900,48.50,exclude_1967_1975
SY14,3096,before 1900,47.42,exclude_1967_1975
SY15,2327,before 1900,42.16,exclude_1967_1975
SY16,8282,1967-1975,27.07,exclude_1967_1975
SY17,1727,before 1900,50.61,exclude_1967_1975
SY18,2060,before 1900,57.48,exclude_1967_1975
SY19,501,before 1900,56.09,exclude_1967_1975
SY2,9192,1950-1966,38.37,exclude_1967_1975
SY20,3231,before 1900,66.08,exclude_1967_1975
SY21,7804,before 1900,44.49,exclude_1967_1975
SY22,4283,before 1900,40.53,exclude_1967_1975
SY23,13943,before 1900,54.10,exclude_1967_1975
SY24,2091,before 1900,53.71,exclude_1967_1975
SY25,2136,before 1900,67.88,exclude_1967_1975
SY3,15899,1950-1966,40.56,exclude_1967_1975
SY4,11587,before 1900,45.05,exclude_1967_1975
SY5,10090,before 1900,43.41,exclude_1967_1975
SY6,3301,before 1900,44.32,exclude_1967_1975
SY7,5449,before 1900,53.48,exclude_1967_1975
SY8,9465,before 1900,44.80,exclude_1967_1975
SY9,1453,before 1900,54.58,exclude_1967_1975
TA1,23037,1983-1990,36.57,exclude_1967_1975
TA10,4596,before 1900,41.88,exclude_1967_1975
TA11,4572,before 1900,36.24,exclude_1967_1975
TA12,2967,before 1900,35.36,exclude_1967_1975
TA13,2112,before 1900,45.17,exclude_1967_1975
TA14,1434,before 1900,56.35,exclude_1967_1975
TA15,332,before 1900,86.45,exclude_1967_1975
TA16,1039,before 1900,49.47,exclude_1967_1975
TA17,302,before 1900,64.57,exclude_1967_1975
TA18,5460,before 1900,46.48,exclude_1967_1975
TA19,5774,before 1900,45.69,exclude_1967_1975
TA2,15407,unknown,38.29,exclude_1967_1975
TA20,11004,1967-1975,38.50,exclude_1967_1975
TA21,11053,unknown,38.10,exclude_1967_1975
TA22,1685,before 1900,64.04,exclude_1967_1975
TA23,3094,before 1900,52.78,exclude_1967_1975
TA24,10547,before 1900,56.37,exclude_1967_1975
TA3,6330,before 1900,51.12,exclude_1967_1975
TA4,9778,before 1900,44.43,exclude_1967_1975
TA5,6413,before 1900,43.29,exclude_1967_1975
TA6,30126,1950-1966,40.68,exclude_1967_1975
TA7,7398,1950-1966,48.01,exclude_1967_1975
TA8,8591,1967-1975,33.12,exclude_1967_1975
TA9,8136,1950-1966,44.16,exclude_1967_1975
TD1,31,1900-1929,77.42,exclude_1967_1975
TD11,40,before 1900,85.00,exclude_1967_1975
TD12,972,before 1900,75.51,exclude_1967_1975
TD14,58,1950-1966,79.31,exclude_1967_1975
TD15,10387,before 1900,58.22,exclude_1967_1975
TD5,41,1967-1975,63.41,exclude_1967_1975
TD6,10,1967-1975,30.00,exclude_1967_1975
TD8,11,1950-1966,45.45,exclude_1967_1975
TD9,111,before 1900,81.08,exclude_1967_1975
TF1,20605,1950-1966,32.54,exclude_1967_1975
TF10,8882,1967-1975,34.92,exclude_1967_1975
TF11,6372,unknown,38.76,exclude_1967_1975
TF12,3035,before 1900,50.71,exclude_1967_1975
TF13,1903,before 1900,55.65,exclude_1967_1975
TF2,19855,1950-1966,32.04,exclude_1967_1975
TF3,12312,1967-1975,6.17,exclude_1967_1975
TF4,12434,unknown,20.42,exclude_1967_1975
TF5,1718,1983-1990,11.00,exclude_1967_1975
TF6,3074,before 1900,40.70,exclude_1967_1975
TF7,9963,1967-1975,20.73,exclude_1967_1975
TF8,1483,before 1900,64.06,exclude_1967_1975
TF9,11767,1950-1966,43.10,exclude_1967_1975
TN1,8799,before 1900,67.94,exclude_1967_1975
TN10,5784,1950-1966,57.66,exclude_1967_1975
TN11,5594,1950-1966,59.30,exclude_1967_1975
TN12,14202,1967-1975,36.23,exclude_1967_1975
TN13,11124,1950-1966,54.43,exclude_1967_1975
TN14,6447,1950-1966,59.98,exclude_1967_1975
TN15,9523,1950-1966,52.40,exclude_1967_1975
TN16,7296,1950-1966,43.02,exclude_1967_1975
TN17,6091,before 1900,54.26,exclude_1967_1975
TN18,2930,before 1900,52.05,exclude_1967_1975
TN19,2109,before 1900,54.72,exclude_1967_1975
TN2,14219,1967-1975,41.10,exclude_1967_1975
TN20,1700,before 1900,63.53,exclude_1967_1975
TN21,7832,1950-1966,42.03,exclude_1967_1975
TN22,12529,1967-1975,36.40,exclude_1967_1975
TN23,21191,unknown,23.92,exclude_1967_1975
TN24,16321,1967-1975,32.22,exclude_1967_1975
TN25,9262,unknown,35.76,exclude_1967_1975
TN26,5323,1950-1966,53.39,exclude_1967_1975
TN27,6412,1950-1966,43.73,exclude_1967_1975
TN28,4681,1967-1975,34.18,exclude_1967_1975
TN29,6517,1950-1966,48.46,exclude_1967_1975
TN3,4475,before 1900,62.77,exclude_1967_1975
TN30,5188,1950-1966,46.07,exclude_1967_1975
TN31,8291,before 1900,52.13,exclude_1967_1975
TN32,1950,before 1900,60.46,exclude_1967_1975
TN33,5912,1950-1966,50.63,exclude_1967_1975
TN34,19473,before 1900,65.42,exclude_1967_1975
TN35,8513,1950-1966,59.27,exclude_1967_1975
TN36,1307,1950-1966,55.09,exclude_1967_1975
TN37,13622,before 1900,56.75,exclude_1967_1975
TN38,17599,before 1900,56.93,exclude_1967_1975
TN39,14699,1950-1966,51.30,exclude_1967_1975
TN4,15398,before 1900,61.49,exclude_1967_1975
TN40,11487,1900-1929,49.09,exclude_1967_1975
TN5,3796,before 1900,55.58,exclude_1967_1975
TN6,11530,1967-1975,38.27,exclude_1967_1975
TN7,991,before 1900,71.85,exclude_1967_1975
TN8,5993,1950-1966,47.32,exclude_1967_1975
TN9,9331,1900-1929,47.24,exclude_1967_1975
TQ1,20536,before 1900,62.48,exclude_1967_1975
TQ10,1995,before 1900,43.91,exclude_1967_1975
TQ11,2028,before 1900,62.28,exclude_1967_1975
TQ12,26394,1950-1966,41.32,exclude_1967_1975
TQ13,12136,before 1900,47.54,exclude_1967_1975
TQ14,10780,before 1900,52.26,exclude_1967_1975
TQ2,18001,before 1900,51.63,exclude_1967_1975
TQ3,15271,1930-1949,60.37,exclude_1967_1975
TQ4,11093,1967-1975,41.57,exclude_1967_1975
TQ5,10136,1950-1966,51.06,exclude_1967_1975
TQ6,6231,before 1900,55.80,exclude_1967_1975
TQ7,11164,before 1900,44.72,exclude_1967_1975
TQ8,1957,before 1900,51.97,exclude_1967_1975
TQ9,10841,before 1900,46.09,exclude_1967_1975
TR1,11281,before 1900,35.78,exclude_1967_1975
TR10,5379,before 1900,43.65,exclude_1967_1975
TR11,16828,before 1900,47.76,exclude_1967_1975
TR12,5397,before 1900,53.05,exclude_1967_1975
TR13,10621,before 1900,45.36,exclude_1967_1975
TR14,13391,before 1900,45.64,exclude_1967_1975
TR15,11214,before 1900,38.93,exclude_1967_1975
TR16,7957,before 1900,45.28,exclude_1967_1975
TR17,1229,before 1900,58.99,exclude_1967_1975
TR18,11872,before 1900,60.91,exclude_1967_1975
TR19,5995,before 1900,59.88,exclude_1967_1975
TR2,6052,before 1900,46.02,exclude_1967_1975
TR20,5369,before 1900,50.21,exclude_1967_1975
TR21,952,1950-1966,53.36,exclude_1967_1975
TR22,30,before 1900,60.00,exclude_1967_1975
TR23,53,before 1900,37.74,exclude_1967_1975
TR24,209,before 1900,45.93,exclude_1967_1975
TR25,51,before 1900,60.78,exclude_1967_1975
TR26,8384,before 1900,48.35,exclude_1967_1975
TR27,8980,before 1900,33.95,exclude_1967_1975
TR3,6075,before 1900,37.98,exclude_1967_1975
TR4,6414,before 1900,35.17,exclude_1967_1975
TR5,2512,before 1900,39.89,exclude_1967_1975
TR6,2447,unknown,38.74,exclude_1967_1975
TR7,14069,unknown,32.53,exclude_1967_1975
TR8,7160,unknown,25.24,exclude_1967_1975
TR9,4295,before 1900,32.62,exclude_1967_1975
TS1,14338,1900-1929,71.35,exclude_1967_1975
TS10,18805,1930-1949,55.57,exclude_1967_1975
TS11,4492,1967-1975,52.27,exclude_1967_1975
TS12,11281,1900-1929,57.65,exclude_1967_1975
TS13,5467,before 1900,72.64,exclude_1967_1975
TS14,8278,1967-1975,40.14,exclude_1967_1975
TS15,6707,1967-1975,22.13,exclude_1967_1975
TS16,4769,1967-1975,33.38,exclude_1967_1975
TS17,23044,1967-1975,26.35,exclude_1967_1975
TS18,15945,1900-1929,54.26,exclude_1967_1975
